"","Group","filename","unittitle.text","didunitdate.text","didlanguage.attrs","didabstract.text","level","primarynode.attrs","didunitdate.attrs","container.text","didcontainer.attrs.1","didcontainer.attrs.2","scopecontentid.attrs","scopecontenthead.text","scopecontentp.text","accessrestrictid.attrs","accessrestricthead.text","accessrestrictp.text","note.text","Hierarchical_Relationship","Description_Level","Year_Num"
"11586",3731,"C:/Users/kkalinin/Documents/R/win-library/3.6/HooverArchives/rusnewspapers.xml","SIBIRSKOE VREMIA ezhenedel'naia gazeta Rossiiskogo obshenarodnogo soiuza. Moskovskii vypusk. CONTINUED BY: Vremia ezhenedel'naia gazeta Rossiiskogo obshchenarodnogo soiuza Redaktory: A. Pilipchuk, A. V. Grass. Moscow, Russia. Weekly. 199?-",NA,NA,NA,"series","series",NA,"350","Box","Box: ",NA,NA,NA,NA,NA,NA,"1996: no. 1-5, no. 49/50(103/104), no. 51(105) with headline ""Zakulisnyi torg za schet naroda zavershen!,"" no. 51(105) with headline ""S novym godom, druz'ia""1997: no. 1(106), no. 2(108)",1,"Series",NA
"11587",3731,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"File","1996: no. 1-5, 49/50(103/104), 51(105) with headline ""Zakulisnyi torg za schet naroda zavershen!,"" 51(105) with headline ""S ym godom, druz'ia"""
"11588",3731,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"File","1997: no. 1(106), 2(108)"
"11589",3732,"C:/Users/kkalinin/Documents/R/win-library/3.6/HooverArchives/rusnewspapers.xml","SIBIRSKOE VREMIA (Novosibirsk)Organ Novosibirskoi organizaatsii sotsial-demokraticheskoi partii Rosii Redaktor Cherniak V. S. Novosibirsk, Russia. ",NA,NA,NA,"series","series",NA,"350","Box","Box: ",NA,NA,NA,NA,NA,NA,"1990: no. 3(1990)",1,"Series",NA
"11590",3732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"File","1990: no. 3(1990)"
"11591",3733,"C:/Users/kkalinin/Documents/R/win-library/3.6/HooverArchives/rusnewspapers.xml","SIBIRSKOE VREMIA (Omsk)ezhenedel'naia narodno-patrioticheskaia gazeta. Redaktory: G. I. Kuskova, T. G. Chetverikova. Omsk, Russia. Weekly. 1994-",NA,NA,NA,"series","series",NA,"350","Box","Box: ",NA,NA,NA,NA,NA,NA,"1994: no. 11995: no. 2(4), no. 3-4, no. 7(9)-16(18), no. 18(20)-52(54)1996: no. 1(55)-6(60), no. 26(80)-37(91)",1,"Series",NA
"11592",3733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"File","1994: no. 1"
"11593",3733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"File","1995: no. 2(4), 3-4, 7(9)-16(18), 18(20)-52(54)"
"11594",3733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"File","1996: no. 1(55)-6(60), 26(80)-37(91)"
"11595",3734,"C:/Users/kkalinin/Documents/R/win-library/3.6/HooverArchives/rusnewspapers.xml","SICH visnyk rukhu Zaporizhzhia. Zaporiizhia, Ukraine. 1989-",NA,NA,NA,"series","series",NA,"545","Box","Box: ",NA,NA,NA,NA,NA,NA,"1989: one unnumbered issue (October)",1,"Series",NA
"11596",3734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"File","1989: no.  one unnumbered issue (October)"
"11597",3735,"C:/Users/kkalinin/Documents/R/win-library/3.6/HooverArchives/rusnewspapers.xml","SIGNAL gazeta rossiiskogo profsoiuza zheleznodorozhnikov i transportnykh stroitelei. Glavnyi redaktor: O. M. Zhukov. Moscow, Russia. 199?-",NA,NA,NA,"series","series",NA,"350","Box","Box: ",NA,NA,NA,NA,NA,NA,"1997: no. 12(60)",1,"Series",NA
"11598",3735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"File","1997: no. 12(60)"
