"","Group","filename","unittitle.text","didunitdate.text","didlanguage.attrs","didabstract.text","level","primarynode.attrs","didunitdate.attrs","container.text","didcontainer.attrs.1","didcontainer.attrs.2","scopecontentid.attrs","scopecontenthead.text","scopecontentp.text","accessrestrictid.attrs","accessrestricthead.text","accessrestrictp.text","note.text","Hierarchical_Relationship","Description_Level","Year_Num"
"11657",3754,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"File","1997: no. 1(139)"
"11658",3755,"C:/Users/kkalinin/Documents/R/win-library/3.6/HooverArchives/rusnewspapers.xml","SLAVA RODINYUchreditel' - ""Soiuz ofitserov g. L'vova"" Gl. redaktor Bochkov V. V. L'vov, Ukraine. 1999-",NA,NA,NA,"series","series",NA,"545","Box","Box: ",NA,NA,NA,NA,NA,NA,"1999: no. 2(2), no. 7(7)2001: no. 3(19)2002: no. 7/8(35/36)-9/10(37/38)",1,"Series",NA
"11659",3755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"File","1999: no. 2(2), 7(7)"
"11660",3755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"File","2001: no. 3(19)"
"11661",3755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"File","2002: no. 7/8(35/36)-9/10(37/38)"
"11662",3756,"C:/Users/kkalinin/Documents/R/win-library/3.6/HooverArchives/rusnewspapers.xml","SLAVA SAMOTLORAgazeta obshchestvennogo dvizheniia ""Dom"" Redaktor A. Kokrev. Nizhnevartovsk, Russia. ",NA,NA,NA,"series","series",NA,"351","Box","Box: ",NA,NA,NA,NA,NA,NA,"2000: November 7- 15",1,"Series",NA
"11663",3756,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"File","2000: no.  November 7- 15"
"11664",3757,"C:/Users/kkalinin/Documents/R/win-library/3.6/HooverArchives/rusnewspapers.xml","SLAVA SEVASTOPOLIAIz zhisni spetssluzhb Redaktor N. Troitskaia. Sevastopol', Ukraine. 1917",NA,NA,NA,"series","series",NA,"351","Box","Box: ",NA,NA,NA,NA,NA,NA,"2001: 108 (21064)2002: nos. 46, 21247), 59-60 (21260-212610",1,"Series",NA
"11665",3757,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"File","2001: no.  108 (21064)"
"11666",3757,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"File","2002: no. 46, 21247), 59-60 (21260-212610"
