CKEY,FIELD 245
13444620,Kulʹturne budivnyt͡stvo Ukraïnsʹkoï radi͡ansʹkoï sot͡sialistychnoï respubliky : statystychnyĭ dovidnyk.
13444623,Kulʹturne budivnyt͡stvo v Ukraïnsʹkiĭ RSR 1917-1927 : zbirnyk dokumentiv i materialiv / [Valeriĭ M. Volkovynsʹkyĭ [and others].
13444632,Istorii͡a rabochikh Donbassa : v dvukh tomakh : [t. 1.] / I͡U. I͡U. Kondufor (glavnyĭ redaktor).
13444828,Kadry spet͡sialistov SSSR : ikh formirovanie i rost / A.E. Beĭlin.
13444847,Profsoi͡uznai͡a perepisʹ 1932-1933 g. : po soi͡uzam ... : vypusk 1 / tekst sostavili: Golʹt͡sman M.T. i Kogan L.M. ; pod obshcheĭ redakt͡sieĭ N.N. Evreĭnova.
13444876,Podgotovka kadrov v SSSR za 15 let / A.E. Beĭlin ; pod obshcheĭ redakt͡sieĭ I.A. Kravali͡a.
13444931,Prot͡sesy rekonstrukt͡siï v ukraïnsʹkiĭ promyslovosti.
13444986,Profsoi͡uzy Ukrainy k desi͡atomu s'ezdu KP(b)U / pod redakt͡sieĭ i s vvedeniem A.F. Radchenko.
13444990,Z dosvidu partroboty v shakhtakh Donbasu : obroblena stenohrama vuhilʹhoï narady pry T͡SK KP(b)U 28 li͡utoho 1932 r.
13444997,Osnovni momenty p'i͡atyrichnoho planu rozvytku promyslovosty USRR : 1928-29-1932-33 r.: materii͡aly VRNH USRR do XI Vseukraïnsʹkoho z'ïzdu rad.
13449859,Z͡Hinocha prat͡si͡a na Ukraïni : statystychnyĭ dovidnyk / [M.I. Bui͡anover].
13449890,Agrarnoe perenaselenie i perspektivy borʹby s nim : (v svete pi͡atyletnego perspektivnogo plana khozi͡aĭstvennogo stroitelʹstva) / M. Lat͡sis.
13449913,Donbass za desi͡atʹ let (1920-1929 g.g.) / A.P. Krivit͡skiĭ z predisloviem I.I. Shvart͡sa (Semena).
13449923,Naĭholovnishi pokaz͡hchyky ekonomichnoho ta kulʹturnoho rivni͡a okruh USRR / T͡Sentralʹne statystychne upravlinni͡a USRR.
13449929,Stan prat͡si v pershomu pivrichchi 1924-25 r. / T͡Sentralʹne statystychne upravlinni͡a USRR.
13449935,Suchasna statystyka naselenni͡a Ukraı̈ny.
13449942,Z͡Hinocha prat͡si͡a na Ukraïni / B.I͡U. Hasko.
13450070,"Profsoi͡uzy Ukrainy posle pobedy velikogo okti͡abri͡a / A. Slut͡skiĭ, V. Sidorenko."
13450076,"Moi͡a zhiznʹ, moi͡a rabota / Nikita Izotov ; pod red. K.D. Golonoĭ."
13452940,"Korotki pidsumky perepysu naselenni͡a Ukraïny 17 hrudni͡a roku 1926 : nat͡sionalʹnyĭ i vikovyĭ sklad, ridna mova ta pysʹmennistʹ naselenni͡a / [kerivnychyĭ T͡SSU Ukraïny M. Volʹf, kerivnychyĭ nad perepysom I.V. I͡Arovyĭ]."
13453075,Demohrafichni osoblyvosti li͡udnosty Ukraı̈ny naprykint͡si XIX ta na pochatku XX viku / Petro Pustokhod. Naroz͡hdenistʹ li͡udnosty na Ukraı̈ni / Mykhaı̆lo Trat͡sevsʹkyı̆.
13453131,Prat͡si͡a v URSR : (statystychnyı̆ dovidnyk).
13464782,"Ukrainian economic conditions, 1925-1933 : a microfilmed collection."
