index,lat,ukr
1,a,а
2,ä,a
3,b,б
4,v,в
5,h,г
6,g,ґ
7,d,д
8,e,е
9,ie,є
10,zh,ж
11,z,з
12,y,и
13,i,і
16,ï,ї
19,ĭ,й
21,k,к
22,l,л
23,m,м
24,n,н
25,o,о
26,p,п
27,r,р
28,s,с
29,t,т
30,u,у
31,f,ф
32,kh,х
33,ts,ц
34,ch,ч
35,sh,ш
36,shch,щ
37,iu,ю
39,ia,я
40,',ь
41,\u0306,й
42,\u0308,ї
43,\u02B9,i
44,\u00EF,ї
45,\u0131,i
46,ı̆,й
47,ı̈,ї
48,ʹ,ь
37,͡,
,,
